Organization,Device,Group,Activity,Description,User,Date
Slifer,EK-SURFACE,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:29:53.610+0000
Hospitality,3-2128,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T11:29:19.000+0000
Hospitality,3-2129,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 7 BE200 320MHz' InterfaceIndex : 12 Status changed : 'Down' -> 'Up',,2025-07-28T11:08:15.000+0000
Partners,1-1331 JPoulnot EWP SC,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:29:22.000+0000
Hospitality,3-2128,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:28:09.000+0000
Hospitality,3-2006,Software Patching,Software Patch Apply Patch Complete,Patch management apply patch completed. Successful: 0 Failed: 0,,2025-07-28T11:20:52.000+0000
Partners,1-1331 JPoulnot EWP SC,Software,Software Updated,"Software updated: 'Microsoft Edge', Version: '138.0.3351.109', User: '<System>'",,2025-07-28T11:27:08.000+0000
Partners,1-1185,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:26:52.000+0000
Hospitality,3-1991,Software Patching,Software Patch Apply Patch Complete,Patch management apply patch completed. Successful: 1 Failed: 0,,2025-07-28T11:27:40.497+0000
Hospitality,3-2511,Software,Software Updated,"Software updated: 'Microsoft.MicrosoftOfficeHub', Version: '19.2507.56041.0', User: '<System>'",,2025-07-28T11:26:51.000+0000
Partners,1-1331 JPoulnot EWP SC,Software Patching,Software Patch Scan Complete,"Software Updates Scan Complete : Approved: 2, Rejected: 11, Pending approval: 1",,2025-07-28T11:27:18.000+0000
Partners,1-1185,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:26:27.000+0000
Hospitality,3-1091,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:26:33.000+0000
Partners,1-1331 JPoulnot EWP SC,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:25:27.000+0000
Partners,1-1331 JPoulnot EWP SC,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Intel(R) Wi-Fi 7 BE200 320MHz #4', MacAddress: 'DE:90:09:18:45:07', IPAddress: '169.254.144.133;fe80::85f0:ca20:da6f:fcc1'",,2025-07-28T11:25:11.000+0000
Partners,1-1331 JPoulnot EWP SC,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:24:56.000+0000
Hospitality,3-1667,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:25:57.000+0000
Hospitality,3-2501,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T11:25:17.000+0000
Partners,1-1331 JPoulnot EWP SC,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T11:25:25.000+0000
Slifer,Brooke Crofts Mac SSF Steamboat,Hardware,Rebooted,System rebooted at '2025-07-28T11:15:00Z',,2025-07-28T11:24:53.467+0000
Partners,1-1331 JPoulnot EWP SC,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:24:58.000+0000
Hospitality,3-2501,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:24:07.000+0000
Slifer,HOY-DELL,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:24:32.000+0000
Hospitality,3-1294,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:23:31.000+0000
Slifer,DESKTOP-BGOVP4D,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:24:20.000+0000
Partners,Steve Issowits Laptop,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:22:40.000+0000
Slifer,2-1344,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:22:29.000+0000
Partners,Steve Issowits Laptop,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:22:09.000+0000
Hospitality,3-1714,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T11:22:32.018+0000
Hospitality,3-1186,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:21:41.000+0000
Hospitality,3-1294,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:22:11.000+0000
Hospitality,3-2509,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:21:33.000+0000
Slifer,DESKTOP-Q3B503G,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T11:22:15.931+0000
Slifer,2-1344,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T11:22:04.000+0000
Slifer,MacBookAir.SSFnetwork,Hardware,Network Adapter Config Changed,"Network Adapter changed: 'en0', MacAddress: '14:7d:da:92:ab:06', IPAddress: '10.0.0.95'",,2025-07-28T11:18:56.317+0000
Hospitality,3-1788,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T11:21:53.000+0000
